Framework_ID,Framework_Name,Framework_Version,Publisher,Jurisdiction,Control_ID,Title,Description,Category,Subcategory,Control_Type,Implementation_Guidance,Last_Updated
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-1,Policy and Procedures,"Develop, document, and disseminate access control policy and procedures",Access Control,,preventive,,2025-08-13T22:03:46.487695
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-2,Account Management,"Manage information system accounts including establishment, activation, modification, and removal",Access Control,,preventive,,2025-08-13T22:03:46.487695
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AU-1,Policy and Procedures,"Develop, document, and disseminate audit and accountability policy and procedures",Audit and Accountability,,preventive,,2025-08-13T22:03:46.487695
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CA-1,Policy and Procedures,"Develop, document, and disseminate assessment, authorization, and monitoring policy","Assessment, Authorization, and Monitoring",,preventive,,2025-08-13T22:03:46.487695
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CM-1,Policy and Procedures,"Develop, document, and disseminate configuration management policy and procedures",Configuration Management,,preventive,,2025-08-13T22:03:46.487695
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-1,Policy and Procedures,"Develop, document, and disseminate access control policy and procedures",Access Control,,preventive,,2025-08-13T22:03:46.489404
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-2,Account Management,"Manage information system accounts including establishment, activation, modification, and removal",Access Control,,preventive,,2025-08-13T22:03:46.489404
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AU-1,Policy and Procedures,"Develop, document, and disseminate audit and accountability policy and procedures",Audit and Accountability,,preventive,,2025-08-13T22:03:46.489404
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CA-1,Policy and Procedures,"Develop, document, and disseminate assessment, authorization, and monitoring policy","Assessment, Authorization, and Monitoring",,preventive,,2025-08-13T22:03:46.489404
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CM-1,Policy and Procedures,"Develop, document, and disseminate configuration management policy and procedures",Configuration Management,,preventive,,2025-08-13T22:03:46.489404
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-1,Policy and Procedures,"Develop, document, and disseminate access control policy and procedures",Access Control,,preventive,,2025-08-13T22:03:47.508354
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AC-2,Account Management,"Manage information system accounts including establishment, activation, modification, and removal",Access Control,,preventive,,2025-08-13T22:03:47.508354
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,AU-1,Policy and Procedures,"Develop, document, and disseminate audit and accountability policy and procedures",Audit and Accountability,,preventive,,2025-08-13T22:03:47.508354
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CA-1,Policy and Procedures,"Develop, document, and disseminate assessment, authorization, and monitoring policy","Assessment, Authorization, and Monitoring",,preventive,,2025-08-13T22:03:47.508354
nist_800_53,NIST SP 800-53 Rev 5,Rev 5,National Institute of Standards and Technology,United States,CM-1,Policy and Procedures,"Develop, document, and disseminate configuration management policy and procedures",Configuration Management,,preventive,,2025-08-13T22:03:47.508354
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-1,Cybersecurity risk management measures - Requirement 1,Risk analysis and information system security policies,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-2,Cybersecurity risk management measures - Requirement 2,Incident handling,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-3,Cybersecurity risk management measures - Requirement 3,Business continuity and crisis management,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-4,Cybersecurity risk management measures - Requirement 4,Supply chain security,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-5,Cybersecurity risk management measures - Requirement 5,Security in network and information systems acquisition,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-21-6,Cybersecurity risk management measures - Requirement 6,Policies and procedures to assess cybersecurity effectiveness,Cybersecurity risk management measures,Article 21,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-23-1,Incident reporting - Requirement 1,Notification without undue delay,Incident reporting,Article 23,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-23-2,Incident reporting - Requirement 2,Initial notification within 24 hours,Incident reporting,Article 23,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-23-3,Incident reporting - Requirement 3,Incident assessment and final report,Incident reporting,Article 23,regulatory,,2025-08-13T22:03:47.509355
nis2_directive,Directive (EU) 2022/2555 (NIS2),2022/2555,European Union,European Union,NIS2-23-4,Incident reporting - Requirement 4,Coordination with competent authorities,Incident reporting,Article 23,regulatory,,2025-08-13T22:03:47.509355
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,Archive | NIST,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,2.0,Control 2.0,Resource Center,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,2.0,Control 2.0, Resources,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,Core (Excel),Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,(April 2018)Download Framework V1.1(PDF | 1.1 MB)Framework V1.1 Core(XLSX | 37 KB)Framework V1.1 Pre,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,19.1,Control 19.1,MB)CSF 1.1 Quick Start GuideProvides direction and guidance to those organizations seeking to improv,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,Online LearningEach learning module is focused on a separate topic relating to the Cybersecurity Fra,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,PerspectivesThis is a listing of publicly available Framework v1.1 perspectives. PerspectivesCSF 1.1,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,resources. ResourcesCSF 1.1 TranslationsDiscover CSF 1.1 translations in various languages for enhan,Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,"ProfilesThe Framework Profile is the alignment of the Functions, Categories, and Subcategories with ",Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,"Success StoriesThese brief summaries focus on why and how the organization used the Framework, empha",Generic,,,,2025-08-13T22:03:47.739704
nist_cybersecurity_framework_2.0,NIST Cybersecurity Framework 2.0,Unknown,Unknown,Unknown,1.1,Control 1.1,Development ArchiveThe Framework Development Archive page highlights key milestones of the developme,Generic,,,,2025-08-13T22:03:47.739704
cis_controls_version_8.1,CIS Controls Version 8.1,Unknown,Unknown,Unknown,8.1,Control 8.1,", includes updated alignment to evolving industry standards and frameworks, revised asset classes an",Generic,,,,2025-08-13T22:03:48.267120
cis_controls_version_8.1,CIS Controls Version 8.1,Unknown,Unknown,Unknown,8.1,Control 8.1,and Resources,Generic,,,,2025-08-13T22:03:48.267120
cis_controls_version_8.1,CIS Controls Version 8.1,Unknown,Unknown,Unknown,7.1,Control 7.1,Resources and ToolsInformation HubCIS ControlsWhite Paper08.07.2025An Introduction to Artificial Int,Generic,,,,2025-08-13T22:03:48.267120
