Source_Framework,Source_Control_ID,Target_Framework,Target_Control_ID,Mapping_Category,Confidence
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-01,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-02,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-03,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-04,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-05,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-06,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-07,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-08,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-09,access_control,Medium
NIST SP 800-53 Rev 5,AC-1,Cloud Controls Matrix v4.0,CCM-IDE-10,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-01,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-02,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-03,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-04,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-05,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-06,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-07,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-08,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-09,access_control,Medium
NIST SP 800-53 Rev 5,CA-1,Cloud Controls Matrix v4.0,CCM-IDE-10,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-01,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-02,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-03,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-04,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-05,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-06,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-07,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-08,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-09,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,AC-1,access_control,Medium
Cloud Controls Matrix v4.0,CCM-IDE-10,NIST SP 800-53 Rev 5,CA-1,access_control,Medium
Directive (EU) 2022/2555 (NIS2),NIS2-21-1,NIST Cybersecurity Framework 2.0,1.1,vulnerability_management,Medium
Directive (EU) 2022/2555 (NIS2),NIS2-21-1,CIS Controls Version 8.1,08.01.2025,vulnerability_management,Medium
